Index,NA,NB ,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a/b,c,MAv,LAC,LBC,LAv,nop (100K),nop (150K),nop (200K),nop (250K),nop (300K),nop (350K),nop (400K),nop (450K),nop (500K),nop (550K),nop (600K),nop (650K),100 K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
19,1,2,4,7,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06 ,0.08 ,4.317,42.231,137.3,3.194 ,3.075 ,3.135 ,-3.87 ,-3.46 ,-1.22 ,-1.19 ,-1.14 ,-1.05 ,-0.98 ,-0.89 ,-0.81 ,-0.70 ,-0.61 ,-0.56 ,0.02 ,0.07 ,0.14 ,0.23 ,0.32 ,0.41 ,0.48 ,0.54 ,0.59 ,0.63 ,0.67 ,0.70 
20,1,4,7,12,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38 ,0.20 ,3.804,21.898,77.08,2.752 ,2.717 ,2.734 ,0.33 ,0.45 ,0.59 ,0.65 ,0.70 ,0.72 ,0.74 ,0.80 ,0.83 ,0.88 ,0.91 ,0.71 ,0.03 ,0.09 ,0.19 ,0.31 ,0.41 ,0.50 ,0.56 ,0.60 ,0.63 ,0.65 ,0.67 ,0.75 
21,1,4,7,12,4S2P2,4S2P3,5S2P4,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.13 ,0.05 ,4.06,23.186,105.46,2.923 ,2.901 ,2.912 ,-0.39 ,-0.47 ,-0.44 ,-0.37 ,-0.35 ,-0.35 ,-0.35 ,-0.35 ,-0.35 ,-0.35 ,-0.35 ,-0.36 ,0.02 ,0.07 ,0.15 ,0.25 ,0.35 ,0.45 ,0.53 ,0.60 ,0.66 ,0.70 ,0.74 ,0.77 
22,1,4,7,12,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.33 ,0.26 ,4.097,22.581,121.77,2.816 ,2.957 ,2.886 ,2.82 ,-2.54 ,2.30 ,2.18 ,2.10 ,2.01 ,1.94 ,1.83 ,1.68 ,1.52 ,1.33 ,1.16 ,0.02 ,0.07 ,0.13 ,0.21 ,0.28 ,0.34 ,0.40 ,0.45 ,0.49 ,0.54 ,0.58 ,0.61 
23,1,4,7,12,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08 ,0.05 ,4.303,24.405,150.14,2.971 ,3.144 ,3.057 ,-2.53 ,-2.67 ,-2.70 ,-2.38 ,-1.45 ,-0.65 ,-0.54 ,-0.48 ,-0.44 ,-0.41 ,-0.38 ,-0.38 ,0.03 ,0.09 ,0.17 ,0.27 ,0.36 ,0.47 ,0.56 ,0.63 ,0.68 ,0.73 ,0.77 ,0.79 
24,1,4,7,12,4S2P2,5S2P3,4S2P4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.34 ,0.25 ,4.013,22.42,92.69,2.800 ,2.887 ,2.843 ,1.27 ,1.57 ,1.80 ,1.89 ,1.91 ,1.89 ,1.81 ,1.72 ,1.59 ,1.44 ,1.27 ,1.10 ,0.02 ,0.05 ,0.10 ,0.17 ,0.24 ,0.30 ,0.35 ,0.40 ,0.45 ,0.49 ,0.53 ,0.56 
25,1,4,7,12,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.09 ,0.04 ,4.231,24.064,121.07,2.959 ,3.070 ,3.014 ,-6.38 ,-5.23 ,-2.88 ,-2.58 ,-2.07 ,-1.44 ,-1.10 ,-0.90 ,-0.79 ,-0.72 ,-0.67 ,-0.63 ,0.02 ,0.06 ,0.14 ,0.23 ,0.34 ,0.44 ,0.54 ,0.62 ,0.68 ,0.72 ,0.76 ,0.79 
26,1,4,7,12,3S2P2,4S2P3,5S2P4,3,4,5,14,33,52,110,115,140,111,119,138,1.98,2.18,2.12,2.13 ,0.05 ,4.039,23.127,101.75,2.845 ,2.901 ,2.873 ,0.92 ,0.56 ,0.55 ,0.56 ,0.58 ,0.59 ,-0.39 ,-0.39 ,-0.39 ,-0.40 ,-0.45 ,-0.53 ,0.03 ,0.11 ,0.22 ,0.33 ,0.43 ,0.52 ,0.58 ,0.65 ,0.70 ,0.74 ,0.76 ,0.77 
27,1,4,7,12,3S2P2,6S2P3,5S2P4,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.08 ,0.05 ,4.272,24.453,146.43,2.909 ,3.143 ,3.026 ,-4.12 ,-3.28 ,-2.51 ,-1.23 ,-0.76 ,-0.65 ,-0.55 ,-0.50 ,-0.46 ,-0.45 ,-0.45 ,-0.45 ,0.06 ,0.15 ,0.26 ,0.38 ,0.49 ,0.58 ,0.65 ,0.71 ,0.75 ,0.78 ,0.80 ,0.82 
28,1,4,7,12,3S2P2,5S2P3,5S2P4,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09 ,0.05 ,4.206,24.037,117.36,2.894 ,3.070 ,2.982 ,-5.36 ,-0.49 ,-0.55 ,-0.59 ,-0.57 ,-0.55 ,-0.52 ,-0.49 ,-0.48 ,-0.46 ,-0.49 ,-0.55 ,0.04 ,0.09 ,0.20 ,0.33 ,0.46 ,0.56 ,0.64 ,0.70 ,0.75 ,0.78 ,0.80 ,0.81 
29,1,4,7,12,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13 ,0.06 ,4.092,23.516,109.3,3.097 ,2.905 ,3.001 ,-7.56 ,-0.23 ,-0.31 ,-0.37 ,-0.41 ,-0.42 ,-0.43 ,-0.42 ,-0.41 ,-0.43 ,-0.45 ,-0.47 ,0.02 ,0.07 ,0.16 ,0.28 ,0.39 ,0.49 ,0.57 ,0.64 ,0.69 ,0.73 ,0.76 ,0.78 
30,1,4,7,12,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32 ,0.27 ,4.132,22.739,125.61,2.951 ,2.961 ,2.956 ,81.84 ,1.57 ,1.62 ,1.65 ,1.62 ,1.56 ,1.49 ,1.39 ,1.30 ,1.16 ,1.06 ,0.95 ,0.01 ,0.04 ,0.09 ,0.15 ,0.21 ,0.28 ,0.34 ,0.40 ,0.45 ,0.50 ,0.55 ,0.59 
31,1,4,7,12,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07 ,0.06 ,4.346,24.582,153.99,3.118 ,3.147 ,3.133 ,-7.65 ,-7.04 ,-1.19 ,-1.10 ,-1.03 ,-0.97 ,-0.87 ,-0.75 ,-0.62 ,-0.50 ,-0.41 ,-0.36 ,0.03 ,0.07 ,0.13 ,0.21 ,0.30 ,0.38 ,0.46 ,0.52 ,0.58 ,0.63 ,0.68 ,0.71 
32,1,4,7,12,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33 ,0.26 ,4.047,22.614,96.54,2.943 ,2.892 ,2.917 ,-1.05 ,2.28 ,1.97 ,1.77 ,2.44 ,1.45 ,1.30 ,1.13 ,0.93 ,0.77 ,0.74 ,0.79 ,0.01 ,0.04 ,0.09 ,0.15 ,0.23 ,0.29 ,0.35 ,0.41 ,0.47 ,0.51 ,0.55 ,0.58 
33,1,4,7,12,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08 ,0.05 ,4.271,24.283,124.91,3.114 ,3.074 ,3.094 ,-9.10 ,-2.80 ,-2.78 ,-2.61 ,-2.30 ,-1.79 ,-1.06 ,-0.76 ,-0.62 ,-0.55 ,-0.52 ,-0.55 ,0.03 ,0.08 ,0.15 ,0.24 ,0.33 ,0.41 ,0.50 ,0.57 ,0.64 ,0.69 ,0.73 ,0.75 
34,1,4,7,12,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32 ,0.28 ,4.151,22.794,132.99,3.019 ,2.960 ,2.990 ,-3.20 ,-3.24 ,2.45 ,2.40 ,2.33 ,2.30 ,2.25 ,2.19 ,2.10 ,1.99 ,1.88 ,1.70 ,0.02 ,0.05 ,0.09 ,0.15 ,0.22 ,0.28 ,0.33 ,0.38 ,0.43 ,0.47 ,0.50 ,0.54 
35,1,4,7,12,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07 ,0.07 ,4.361,24.699,161.36,3.187 ,3.146 ,3.167 ,-7.20 ,-7.04 ,-1.43 ,-1.39 ,-1.33 ,-1.24 ,-1.11 ,-0.90 ,-0.64 ,-0.48 ,-0.39 ,-0.35 ,0.03 ,0.06 ,0.12 ,0.20 ,0.28 ,0.36 ,0.43 ,0.49 ,0.55 ,0.60 ,0.65 ,0.68 
36,1,4,7,12,6S2P2,5S2P3,4S2P4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33 ,0.27 ,4.069,22.678,103.91,3.017 ,2.892 ,2.954 ,-0.57 ,2.03 ,2.14 ,2.19 ,2.16 ,2.12 ,2.06 ,1.96 ,1.82 ,1.66 ,1.44 ,1.18 ,0.02 ,0.06 ,0.11 ,0.17 ,0.23 ,0.28 ,0.33 ,0.38 ,0.42 ,0.46 ,0.50 ,0.53 
37,1,4,7,12,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08 ,0.07 ,4.286,24.386,132.28,3.191 ,3.073 ,3.132 ,19.16 ,-3.31 ,-3.25 ,-3.09 ,-2.79 ,-2.38 ,-1.88 ,-1.37 ,-0.98 ,-0.74 ,-0.62 ,-0.58 ,0.03 ,0.07 ,0.15 ,0.23 ,0.32 ,0.40 ,0.47 ,0.53 ,0.59 ,0.65 ,0.69 ,0.72 
38,2,2,5,9,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35 ,0.23 ,3.845,15.776,76.65,2.763 ,2.727 ,2.745 ,0.58 ,0.67 ,0.73 ,0.72 ,0.70 ,0.70 ,0.73 ,0.73 ,0.77 ,0.60 ,0.61 ,0.63 ,0.06 ,0.17 ,0.30 ,0.42 ,0.52 ,0.59 ,0.63 ,0.67 ,0.70 ,0.77 ,0.79 ,0.80 
39,2,2,5,9,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31 ,0.27 ,4.048,16.174,106.44,2.809 ,2.955 ,2.882 ,9.45 ,0.75 ,0.75 ,0.70 ,0.62 ,0.56 ,0.55 ,0.54 ,0.54 ,0.34 ,0.36 ,0.37 ,0.03 ,0.06 ,0.13 ,0.21 ,0.31 ,0.39 ,0.46 ,0.52 ,0.58 ,0.67 ,0.71 ,0.74 
