Index,NA,NB ,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a/b,c,MAv,LAC,LBC,LAv,nop (100K),nop (150K),nop (200K),nop (250K),nop (300K),nop (350K),nop (400K),nop (450K),nop (500K),nop (550K),nop (600K),nop (650K),100 K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
51,2,2,5,9,6S2P2,4S2P3,4S2P4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.32 ,0.28 ,4.001,16.387,106.56,3.005 ,2.755 ,2.880 ,0.46 ,0.34 ,0.35 ,0.36 ,0.30 ,0.32 ,0.33 ,0.34 ,0.34 ,0.35 ,0.36 ,0.36 ,0.04 ,0.14 ,0.24 ,0.33 ,0.49 ,0.55 ,0.59 ,0.63 ,0.66 ,0.69 ,0.71 ,0.73 
52,2,2,5,9,6S2P2,4S2P3,5S2P4,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.08 ,0.11 ,4.225,17.526,133.58,3.184 ,2.927 ,3.056 ,-1.05 ,-0.89 ,-0.86 ,-0.85 ,-0.82 ,-0.79 ,-0.75 ,-0.69 ,-0.64 ,-0.59 ,-0.55 ,-0.52 ,0.02 ,0.08 ,0.17 ,0.28 ,0.38 ,0.47 ,0.54 ,0.60 ,0.65 ,0.70 ,0.73 ,0.76 
53,2,2,5,9,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.28 ,0.30 ,4.202,16.678,136.35,3.025 ,2.970 ,2.997 ,1.96 ,2.00 ,2.06 ,2.10 ,2.09 ,2.02 ,1.92 ,1.80 ,1.62 ,1.42 ,1.18 ,0.91 ,0.02 ,0.06 ,0.11 ,0.18 ,0.25 ,0.32 ,0.38 ,0.43 ,0.48 ,0.53 ,0.58 ,0.62 
54,2,2,5,9,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.04 ,0.10 ,4.417,17.912,163.37,3.194 ,3.152 ,3.173 ,-5.39 ,-0.60 ,-0.65 ,-0.67 ,-0.66 ,-0.61 ,-0.54 ,-0.47 ,-0.38 ,-0.32 ,-0.31 ,-0.30 ,0.02 ,0.06 ,0.13 ,0.22 ,0.31 ,0.40 ,0.48 ,0.54 ,0.60 ,0.65 ,0.69 ,0.72 
55,2,2,5,9,6S2P2,5S2P3,3S2P4,6,5,3,82,51,16,180,145,100,146,139,105,1.87,2.05,2.58,2.30 ,0.31 ,4.025,15.996,90.92,2.926 ,2.793 ,2.860 ,2.62 ,0.79 ,0.77 ,0.76 ,0.76 ,0.76 ,0.80 ,0.84 ,-0.85 ,-0.67 ,-0.57 ,-0.49 ,0.03 ,0.10 ,0.21 ,0.34 ,0.45 ,0.54 ,0.59 ,0.64 ,0.70 ,0.99 ,1.12 ,1.21 
56,2,2,5,9,6S2P2,5S2P3,4S2P4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.29 ,0.30 ,4.143,16.616,116.97,3.021 ,2.904 ,2.962 ,-336.59 ,2.55 ,2.54 ,2.56 ,2.57 ,2.51 ,2.47 ,2.37 ,2.26 ,2.12 ,1.94 ,1.73 ,0.01 ,0.03 ,0.07 ,0.12 ,0.18 ,0.24 ,0.29 ,0.34 ,0.39 ,0.44 ,0.48 ,0.52 
57,2,2,5,9,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.05 ,0.10 ,4.362,17.785,143.99,3.193 ,3.082 ,3.138 ,-2.14 ,-1.83 ,-1.42 ,-1.08 ,-0.90 ,-0.77 ,-0.65 ,-0.54 ,-0.45 ,-0.39 ,-0.37 ,-0.36 ,0.03 ,0.08 ,0.17 ,0.26 ,0.36 ,0.44 ,0.52 ,0.58 ,0.63 ,0.67 ,0.70 ,0.73 
58,3,2,6,11,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.34 ,0.24 ,3.861,57.053,76.49,2.766 ,2.731 ,2.749 ,0.19 ,0.25 ,0.37 ,0.50 ,0.52 ,0.52 ,0.54 ,0.56 ,0.58 ,0.48 ,0.49 ,0.51 ,0.02 ,0.06 ,0.14 ,0.25 ,0.37 ,0.47 ,0.53 ,0.58 ,0.62 ,0.73 ,0.75 ,0.77 
59,3,2,6,11,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07 ,0.05 ,4.242,62.482,127.4,2.964 ,3.144 ,3.054 ,-0.73 ,-0.70 ,-0.71 ,-0.69 ,-0.69 ,-0.66 ,-0.66 ,-0.64 ,-0.62 ,-0.64 ,-0.66 ,-0.68 ,0.04 ,0.11 ,0.21 ,0.33 ,0.43 ,0.52 ,0.59 ,0.64 ,0.69 ,0.72 ,0.74 ,0.76 
60,3,2,6,11,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08 ,0.05 ,4.206,61.831,111.54,2.957 ,3.071 ,3.014 ,1.62 ,-1.72 ,-1.49 ,-1.01 ,-0.79 ,-0.71 ,-0.67 ,-0.63 ,-0.62 ,-0.60 ,-0.62 ,-0.65 ,0.02 ,0.06 ,0.12 ,0.22 ,0.33 ,0.43 ,0.52 ,0.60 ,0.66 ,0.70 ,0.73 ,0.76 
