NA,NB,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a_b,c,MAv,LAC,LBC,SAC,SBC,LAv,SAv,Temperature,Nop,ZT
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.09090909090909091,0.0,0.08
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.18181818181818182,0.0,0.17
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.2727272727272727,0.0,0.27
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.36363636363636365,0.0,0.37
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.45454545454545453,0.0,0.46
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.5454545454545454,0.0,0.51
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.6363636363636364,0.0,0.56
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.7272727272727273,0.0,0.6
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.8181818181818182,0.0,0.63
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.9090909090909091,0.0,0.72
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,1.0,0.0,0.74
