NA,NB,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a_b,c,MAv,LAC,LBC,SAC,SBC,LAv,SAv,Temperature,Nop,ZT
0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,0.5,0.2647058823529412,0.0,0.5,0.21428571428571427,0.0,0.07500000000000001,0.2571428571428571,0.0,0.4545454545454546,1.0,1.0,0.9347826086956517,0.9705882352941182,0.6666666666666665,0.026101141924959242,0.45147064856216923,0.004719152854512094,0.009049773755656113,0.01138952164009087,0.8421052631578947,0.909090909090909,0.01138952164009087,0.8864628820960697,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.3333333333333333,0.0,1.0,0.2647058823529412,0.0,1.0,0.21428571428571427,0.0,1.0,0.2571428571428571,0.0,1.0,1.0,1.0,0.0,0.23529411764705913,0.03703703703703704,0.4388254486133778,0.4973130409812528,0.324585635359116,0.3959276018099552,0.42824601366742526,0.6491228070175437,0.4545454545454545,0.41457858769931744,0.5458515283842791,0.0,1.0,0.03
0.0,0.0,0.0,0.0,0.25,1.0,0.5,0.3333333333333333,1.0,0.5,0.2647058823529412,1.0,0.5,0.21428571428571427,1.0,0.07500000000000001,0.2571428571428571,1.0,0.4545454545454546,1.0,0.0,0.9347826086956517,0.8235294117647056,0.8148148148148148,0.4437194127243078,0.47112031833285467,0.4455570902394107,0.1357466063348417,0.5489749430523919,0.5614035087719299,0.409090909090909,0.3439635535307512,0.48034934497816545,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,0.2647058823529412,1.0,1.0,0.21428571428571427,1.0,1.0,0.2571428571428571,1.0,1.0,1.0,0.0,0.0,0.11764705882352956,0.03703703703703704,0.7814029363784675,0.5343151331172826,0.7655386740331491,0.48416289592760253,0.9794988610478351,0.45614035087719296,0.090909090909091,0.7334851936218678,0.2576419213973797,0.0,1.0,0.03
0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.3333333333333333,0.5,0.5,0.2647058823529412,0.36,0.5,0.21428571428571427,0.6666666666666667,0.07500000000000001,0.2571428571428571,0.6896551724137931,0.4545454545454546,1.0,0.1874999999999986,0.9347826086956517,0.8529411764705886,0.7777777777777777,0.3262642740619898,0.465705378020265,0.15872467771639048,0.1040723981900458,0.38724373576309773,0.5964912280701755,0.6363636363636365,0.24601366742596828,0.6026200873362442,0.0,1.0,0.01
0.0,0.0,0.0,0.0,0.25,0.5,1.0,0.3333333333333333,0.5,1.0,0.2647058823529412,0.36,1.0,0.21428571428571427,0.6666666666666667,1.0,0.2571428571428571,0.6896551724137931,1.0,1.0,0.1874999999999986,0.0,0.11764705882352956,0.0,0.6851549755301801,0.5225007178898141,0.4785911602209944,0.4660633484162903,0.8063781321184511,0.45614035087719296,0.29545454545454525,0.6378132118451019,0.3558951965065498,0.0,1.0,0.02
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7857142857142866,0.0,0.0,0.08823529411764652,0.07407407407407406,0.7047308319739017,0.5330024203142306,0.6923342541436462,0.3280542986425338,0.98633257403189,0.6842105263157893,0.02272727272727275,0.6605922551252846,0.3624454148471614,0.0,1.0,0.07
0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.36,1.0,0.0,0.6666666666666667,1.0,0.0,0.6896551724137931,1.0,0.7857142857142866,0.1874999999999986,0.0,0.11764705882352956,0.03703703703703704,0.6166394779771625,0.5206547155105221,0.40538674033149164,0.3054298642533941,0.810933940774487,0.7017543859649121,0.227272727272727,0.5603644646924828,0.4781659388646281,0.0,1.0,0.03
0.0,0.0,0.0,0.0,0.625,0.0,0.5,0.6666666666666666,0.0,0.5,0.5294117647058824,0.0,0.5,0.5,0.0,0.07500000000000001,0.7999999999999999,0.0,0.4545454545454546,0.6428571428571433,1.0,0.9347826086956517,0.9411764705882352,0.7037037037037036,0.11908646003262637,0.46535668868195423,0.08045580110497247,0.38914027149321284,0.031890660592255655,0.43859649122807015,0.8409090909090907,0.21184510250569466,0.6048034934497816,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.6666666666666666,0.0,1.0,0.5294117647058824,0.0,1.0,0.5,0.0,1.0,0.7999999999999999,0.0,1.0,0.6428571428571433,1.0,0.0,0.20588235294117607,0.11111111111111112,0.5350734094616637,0.5119579931903022,0.4004373848987109,0.796380090497738,0.44874715261959003,0.3333333333333332,0.38636363636363624,0.6264236902050111,0.31877729257641907,0.0,1.0,0.04
0.0,0.0,0.0,0.0,0.625,1.0,0.5,0.6666666666666666,1.0,0.5,0.5294117647058824,1.0,0.5,0.5,1.0,0.07500000000000001,0.7999999999999999,1.0,0.4545454545454546,0.6428571428571433,0.0,0.9347826086956517,0.7941176470588239,0.8518518518518517,0.5481239804241433,0.4824834885342741,0.5214088397790055,0.4570135746606342,0.5649202733485187,0.36842105263157887,0.38636363636363624,0.5148063781321183,0.33842794759825334,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.0,1.0,0.02
0.0,0.0,0.0,0.0,0.625,0.5,0.5,0.6666666666666666,0.5,0.5,0.5294117647058824,0.36,0.5,0.5,0.6666666666666667,0.07500000000000001,0.7999999999999999,0.6896551724137931,0.4545454545454546,0.6428571428571433,0.1874999999999986,0.9347826086956517,0.8235294117647056,0.8148148148148148,0.42577487765089816,0.4795503958649546,0.23446132596685085,0.4411764705882358,0.4077448747152625,0.35087719298245607,0.5681818181818182,0.42824601366742626,0.42794759825327505,0.0,1.0,0.01
