   Label       Predict
0.2650000     0.2704124
0.7070000     0.7577845
0.4040000     0.4049872
0.5230000     0.5340205
0.1710000     0.1206825
0.7570000     0.8359978
0.4340000     0.4323721
0.7490000     0.8180523
0.3940000     0.3736931
0.2760000     0.2289359
0.3790000     0.3929309
0.6020000     0.6257023
0.8240000     0.9081795
0.6360000     0.6720192
0.0770000     -0.0381236
0.0200000     -0.1130508
0.1830000     0.1176762
0.4480000     0.4639640
0.2530000     0.2298346
0.4880000     0.5109885
0.2350000     0.1676110
0.0100000     -0.1277980
0.0590000     -0.0527078
0.5380000     0.5775045
0.4400000     0.4346504
0.2780000     0.2713448
0.6330000     0.6716598
0.5980000     0.6187646
0.6730000     0.7334245
0.6660000     0.7120795
0.4320000     0.4313191
0.5420000     0.5769067
0.2100000     0.1574934
0.4370000     0.4399765
0.7460000     0.8215646
0.5890000     0.6219546
0.6720000     0.7290231
0.5690000     0.5972799
0.4810000     0.4923561
0.8150000     0.9101636
0.1140000     0.0258656
0.1890000     0.1386896
0.5310000     0.5628068
0.1740000     0.0980923
0.6670000     0.7102889
0.4460000     0.4728603
0.6380000     0.6759043
0.6340000     0.6767058
0.4670000     0.4907706
0.2860000     0.2448287
0.0300000     -0.0989047
0.7060000     0.7638696
0.4770000     0.4667094
0.7580000     0.8229052
0.6310000     0.6721479
0.7340000     0.7979587
0.6840000     0.7380878
0.7240000     0.7851562
0.4900000     0.5137932
0.3910000     0.3595814
0.0480000     -0.0787244
0.6790000     0.7341081
0.7240000     0.7964424
0.7450000     0.8154629
0.5580000     0.5620765
0.6680000     0.6983947
0.6920000     0.7471167
0.3350000     0.3115573
0.1250000     0.0494770
0.0200000     -0.1185237
0.0620000     -0.0426369
0.4940000     0.5076022
0.2600000     0.2542943
0.3780000     0.3685444
0.7180000     0.7663362
0.1740000     0.1255577
0.7260000     0.7824198
0.0860000     -0.0094038
0.0890000     -0.0147772
0.0900000     -0.0001202
0.1080000     0.0254101
0.1120000     0.0397336
0.4340000     0.4319214
0.2060000     0.1541847
0.0400000     -0.0818217
0.6480000     0.6957412
0.1450000     0.0816104
0.3880000     0.3903457
0.7680000     0.8434575
0.7110000     0.7815225
0.5890000     0.6298990
0.0400000     -0.0629929
0.4480000     0.4529812
0.2080000     0.1486803
0.4000000     0.4158565
0.2530000     0.2265653
0.0490000     -0.0735199
0.5950000     0.6286389
0.1730000     0.1131510
0.6870000     0.7512985
0.5620000     0.5798133
0.5060000     0.5254046
0.5660000     0.5871087
0.7060000     0.7721432
0.4760000     0.4875010
0.7870000     0.8768392
0.5320000     0.5367683
0.0820000     -0.0059001
0.2240000     0.1624292
0.4950000     0.5035574
0.3530000     0.3630852
0.0700000     -0.0333683
0.4110000     0.4128745
0.3010000     0.2810039
0.5230000     0.5648256
0.5630000     0.5961486
0.8080000     0.8888965
0.5480000     0.5763530
0.2020000     0.1712891
0.3340000     0.3191140
0.2550000     0.2318476
0.4670000     0.4914228
0.6340000     0.6584996
0.6390000     0.6875625
0.6360000     0.6728851
0.0200000     -0.1137592
0.3240000     0.3193111
0.6210000     0.6627076
0.5950000     0.6339341
0.2340000     0.1931134
0.6230000     0.6657919
0.0930000     -0.0144674
0.5040000     0.5154778
0.6830000     0.7385199
0.5400000     0.5770693
0.6030000     0.6374317
0.4970000     0.5123882
0.6890000     0.7425113
0.4120000     0.3929685
0.0490000     -0.0737375
0.0700000     -0.0303160
0.0200000     -0.1315849
0.2370000     0.2041354
0.0420000     -0.0846918
0.2350000     0.1763723
0.6060000     0.6535624
0.5150000     0.5200006
0.6970000     0.7613304
0.6560000     0.6963608
0.2180000     0.1581767
0.7780000     0.8635352
0.1520000     0.1020971
0.4090000     0.4010209
0.2130000     0.1898535
0.6340000     0.6926568
0.3060000     0.2869518
0.3810000     0.3765308
0.7590000     0.8340635
0.7040000     0.7770226
0.5580000     0.5696720
0.4890000     0.4724639
0.3380000     0.3238049
0.5390000     0.5662889
0.5330000     0.5513589
0.6840000     0.7345846
0.4570000     0.4658912
0.4090000     0.3975015
0.0200000     -0.1286511
0.1990000     0.1534689
0.3590000     0.3616388
0.2700000     0.2598879
0.5330000     0.5615457
0.6550000     0.6885184
0.8150000     0.9083640
0.6680000     0.7230445
0.0830000     -0.0068682
0.4420000     0.4595172
0.7350000     0.7889316
0.4230000     0.4108021
0.6270000     0.6617622
0.4280000     0.4279802
0.3740000     0.3593769
0.1510000     0.0728330
0.7480000     0.8189801
0.1040000     0.0050060
0.6840000     0.7452270
0.5260000     0.5405751
0.4080000     0.4189507
0.6870000     0.7431023
0.4460000     0.4317494
0.0100000     -0.1279298
0.0470000     -0.0741316
0.3290000     0.3038686
0.5410000     0.5576593
