NA_atom_unit,NB_atom_unit,NC_atom_unit,N_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA_pm,rB_pm,rC_pm,rCA_pm,rCB_pm,rCC_pm,XA,XB,XC,Ave_X,Std_Dev_Pauling_Electronegativity,a_?_uint,c_?_unit,Ave_Mass_g_mol,A_C_?,B_C_?,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_Bondlength_?,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1_00E+19,1E19_Pockets,1_00E+20,1E20_Pockets,1_00E+21,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,-1.00E+18,#NAME?,-1.00E+19,#NAME?_1,-1.00E+20,#NAME?_2,-1.00E+21,CB_dos_at_0_1_states_atom,Time_fs,K_min,K_diff,Temperature,Kpa,N_optimal,Type,ZT
1,2,4,7,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.9539999999999997,2.965,1.72,1.7,2.96,1.7080000000000002,0.76,0.62,1.42,31.69,0.17,1.28,1,-0.048,0,-0.114,1,-0.195,1,-0.32299999999999995,0.003,0.15,1.56,1,0.223,1,0.3,1,0.49700000000000005,2,0.825,0.002,10,0.45,0.28,100,3.2,5.79,0,0.01
1,2,4,7,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361000000000001,42.315,149.58,3.1239999999999997,3.1519999999999997,1.67,1.56,3.138,1.6119999999999999,0.89,0.68,0.74,37.01,0.14,2.07,1,-0.078,0,-0.107,0,-0.18899999999999997,0,-0.33299999999999996,0.016,0.16,2.09,1,0.444,5,0.505,6,0.578,11,0.7190000000000001,0.003,10,0.38,0.24,100,2.45,-0.46,1,0.02
1,2,4,7,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.8960000000000004,1.71,1.78,2.9219999999999997,1.749,0.48,0.97,1.38,40.11,0.25,1.29,1,-0.027999999999999997,1,-0.07400000000000001,1,-0.177,2,-0.34299999999999997,0.005,0.2,7.15,1,0.042,1,0.11199999999999999,1,0.302,2,0.586,0.001,10,0.5,0.32,100,2.62,-1.97,0,0.01
1,2,4,7,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.1189999999999998,3.077,1.66,1.64,3.0980000000000003,1.649,0.57,1.0,0.75,33.16,0.08,1.05,1,-0.07400000000000001,0,-0.16399999999999998,1,-0.275,1,-0.474,0.001,0.1,1.27,1,0.184,1,0.2315,4,0.299,6,0.42,0.004,10,0.43,0.27,100,2.68,-3.39,1,0.02
1,2,4,7,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.9160000000000004,38.74,96.13,3.0069999999999997,2.733,1.58,1.91,2.87,1.742,0.9,0.74,1.3,51.49,0.43,1.81,3,-0.038,0,-0.063,0,-0.102,0,-0.20199999999999999,0.142,0.2,3.62,1,0.365,1,0.441,2,0.653,4,0.941,0.001,10,0.53,0.34,100,1.85,0.82,0,0.03
1,2,4,7,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.1530000000000005,41.265,123.92,3.1910000000000003,2.91,1.51,1.72,3.05,1.618,0.95,0.74,0.71,43.09,0.1,1.38,4,-0.04,0,-0.057999999999999996,0,-0.10400000000000001,0,-0.273,0.086,0.14,2.62,1,0.45799999999999996,1,0.541,3,0.6,6,0.7140000000000001,0.002,10,0.45,0.28,100,2.46,-1.33,1,0.03
1,2,4,7,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.3,0.29,4.171,39.471,134.43,3.0210000000000004,2.964,1.59,1.72,2.9930000000000003,1.653,0.9,0.83,1.47,43.52,0.2,1.41,1,-0.045,0,-0.106,0,-0.244,1,-0.424,0.004,0.16,2.2,1,0.326,1,0.401,1,0.602,2,0.951,0.002,10,0.44,0.27,100,3.52,2.42,0,0.02
1,2,4,7,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06,0.09,4.382,42.674,162.22,3.1919999999999997,3.148,1.54,1.58,3.17,1.5619999999999998,1.03,0.78,0.77,38.49,0.2,2.87,1,-0.067,0,-0.122,0,-0.217,1,-0.42100000000000004,0.004,0.16,2.29,1,0.569,4,0.636,6,0.732,9,0.873,0.003,10,0.36,0.23,100,2.5,-0.68,1,0.02
1,2,4,7,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06,0.08,4.317,42.231,137.3,3.194,3.075,1.51,1.66,3.135,1.587,0.7,0.98,0.82,36.76,0.15,1.77,1,-0.055,0,-0.128,0,-0.24100000000000002,1,-0.45899999999999996,0.002,0.15,1.79,1,0.29,1,0.366,5,0.462,6,0.5920000000000001,0.002,10,0.4,0.25,100,2.35,-3.87,1,0.02
1,4,7,12,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38,0.2,3.804,21.898000000000003,77.08,2.752,2.717,2.05,1.97,2.734,2.011,0.72,0.75,1.37,46.16,0.6,1.06,4,-0.054000000000000006,0,-0.064,0,-0.094,0,-0.18899999999999997,0.29,0.267,2.612,2,0.341,2,0.40700000000000003,2,0.556,4,0.7909999999999999,0.004,12,0.58,0.36,100,2.18,0.33,0,0.03
1,4,7,12,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.13,0.05,4.06,23.186,105.46,2.923,2.9010000000000002,1.9,1.75,2.912,1.8230000000000002,0.76,1.01,1.04,48.78,0.13,1.08,6,-0.042,0,-0.063,0,-0.122,0,-0.249,0.07,0.302,1.05,6,0.261,4,0.29100000000000004,6,0.344,10,0.48700000000000004,0.153,12,0.48,0.3,100,2.88,-0.39,1,0.02
1,4,7,12,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.33,0.26,4.0969999999999995,22.581,121.77,2.8160000000000003,2.957,1.86,1.74,2.886,1.801,0.75,0.71,1.41,31.21,0.25,1.36,1,-0.019,0,-0.075,0,-0.22,1,-0.349,0.006,0.20800000000000002,1.8559999999999999,1,0.33899999999999997,2,0.41600000000000004,3,0.62,3,0.953,0.003,12,0.43,0.27,100,2.73,2.82,0,0.02
1,4,7,12,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.303,24.405,150.14,2.971,3.1439999999999997,1.76,1.59,3.057,1.675,0.89,0.95,0.79,32.86,0.27,3.44,2,-0.025,0,-0.073,0,-0.187,0,-0.34299999999999997,0.012,0.239,2.147,2,0.585,9,0.638,12,0.703,16,0.826,0.03,12,0.36,0.23,100,2.22,-2.53,1,0.03
1,4,7,12,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.34,0.25,4.013,22.42,92.69,2.8,2.887,1.93,1.85,2.843,1.891,0.29,1.1,1.35,36.59,0.05,8.13,1,-0.026000000000000002,1,-0.077,1,-0.222,2,-0.39299999999999996,0.004,0.040999999999999995,5.824,1,0.078,1,0.14800000000000002,1,0.337,5,0.62,0.002,12,0.48,0.3,100,2.53,1.27,0,0.02
1,4,7,12,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.09,0.04,4.231,24.064,121.07,2.9589999999999996,3.07,1.82,1.68,3.014,1.7530000000000001,0.46,1.11,0.8,37.49,0.16,2.21,1,-0.10099999999999999,0,-0.165,1,-0.28300000000000003,2,-0.486,0.002,0.27399999999999997,1.7180000000000002,7,0.22,7,0.242,7,0.27699999999999997,11,0.42200000000000004,0.10300000000000001,12,0.41,0.26,100,2.6,-6.38,1,0.02
1,4,7,12,0,3,7,3,4,5,14,33,52,110,115,140,111,119,138,1.98,2.18,2.12,2.13,0.05,4.039,23.127,101.75,2.845,2.9010000000000002,2.08,1.73,2.873,1.9069999999999998,0.5,1.07,1.08,43.42,0.23,1.09,4,-0.017,0,-0.026000000000000002,0,-0.062,0,-0.16899999999999998,0.309,0.11599999999999999,1.053,5,0.17,5,0.18600000000000003,5,0.23,7,0.366,0.124,12,0.47,0.3,100,2.45,0.92,1,0.03
1,4,7,12,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.08,0.05,4.272,24.453000000000003,146.43,2.909,3.1430000000000002,1.86,1.58,3.0260000000000002,1.72,0.86,0.91,0.74,39.08,0.27,3.3,3,-0.065,0,-0.11699999999999999,0,-0.184,0,-0.26899999999999996,0.01,0.267,2.356,3,0.512,7,0.563,11,0.615,12,0.71,0.028999999999999998,12,0.37,0.23,100,1.89,-4.12,1,0.06
1,4,7,12,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09,0.05,4.206,24.037,117.36,2.8939999999999997,3.07,1.95,1.67,2.9819999999999998,1.8119999999999998,0.37,1.04,0.77,42.41,0.15,2.13,1,-0.09,0,-0.183,1,-0.282,2,-0.444,0.001,0.18100000000000002,4.033,9,0.14300000000000002,7,0.163,8,0.20199999999999999,9,0.327,0.13,12,0.41,0.26,100,2.28,-5.36,1,0.04
1,4,7,12,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13,0.06,4.092,23.516,109.3,3.097,2.905,1.71,1.73,3.0010000000000003,1.719,0.65,1.04,0.95,40.13,0.16,1.09,5,0.0,0,-0.022000000000000002,0,-0.073,0,-0.22,0.146,0.23399999999999999,2.112,4,0.299,6,0.32,10,0.369,13,0.49200000000000005,0.19899999999999998,12,0.45,0.28,100,2.3,-7.56,1,0.02
1,4,7,12,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32,0.27,4.132,22.739,125.61,2.951,2.9610000000000003,1.75,1.72,2.9560000000000004,1.734,0.63,0.64,1.52,38.96,0.2,1.09,1,-0.065,0,-0.121,1,-0.228,1,-0.32799999999999996,0.006,0.179,1.476,1,0.223,1,0.304,1,0.514,3,0.853,0.002,12,0.43,0.27,100,3.31,5.91,0,0.01
1,4,7,12,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.346,24.581999999999997,153.99,3.1180000000000003,3.147,1.68,1.58,3.133,1.6280000000000001,0.76,0.85,0.96,38.94,0.2,1.81,1,-0.077,0,-0.14400000000000002,0,-0.209,0,-0.331,0.005,0.212,1.804,1,0.424,3,0.493,5,0.599,11,0.743,0.005,12,0.35,0.22,100,2.15,-7.65,1,0.03
1,4,7,12,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33,0.26,4.047,22.614,96.54,2.943,2.892,1.77,1.82,2.917,1.794,0.2,1.04,1.43,43.98,0.36,1.53,1,-0.006,1,-0.052000000000000005,1,-0.17600000000000002,2,-0.335,0.012,0.065,1.281,1,0.07,1,0.13,1,0.32,5,0.609,0.004,12,0.47,0.3,100,2.43,-1.05,0,0.01
1,4,7,12,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.05,4.271,24.283,124.91,3.114,3.074,1.69,1.67,3.094,1.679,0.33,1.13,0.97,39.5,0.13,1.39,1,-0.084,1,-0.18600000000000003,1,-0.2842,2,-0.484,0.001,0.17800000000000002,1.052,2,0.149,1,0.20199999999999999,2,0.267,6,0.402,0.009000000000000001,12,0.4,0.25,100,2.3,-7.75,1,0.03
1,4,7,12,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32,0.28,4.151,22.794,132.99,3.0189999999999997,2.96,1.62,1.74,2.99,1.6769999999999998,0.72,0.92,1.56,35.74,0.22,1.12,1,-0.025,0,-0.084,0,-0.228,1,-0.40299999999999997,0.006,0.19399999999999998,1.584,1,0.308,1,0.38299999999999995,3,0.5920000000000001,3,0.9570000000000001,0.003,12,0.42,0.26,100,3.46,-3.2,0,0.02
1,4,7,12,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07,0.07,4.361000000000001,24.699,161.36,3.187,3.1460000000000004,1.56,1.59,3.167,1.574,0.85,0.95,0.96,32.34,0.23,2.13,1,-0.067,0,-0.13699999999999998,0,-0.225,1,-0.433,0.008,0.23,2.14,1,0.493,3,0.563,5,0.6920000000000001,9,0.843,0.006,12,0.35,0.22,100,2.16,-7.2,1,0.03
1,4,7,12,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33,0.27,4.069,22.678,103.91,3.017,2.892,1.62,1.84,2.9539999999999997,1.726,0.29,0.98,1.53,32.93,0.07,4.76,1,0.001,0,-0.051,1,-0.195,1,-0.35,0.006,0.055,3.5410000000000004,1,0.1,1,0.16399999999999998,1,0.358,3,0.6709999999999999,0.002,12,0.46,0.29,100,2.41,-0.57,0,0.02
1,4,7,12,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08,0.07,4.2860000000000005,24.386,132.28,3.1910000000000003,3.073,1.55,1.68,3.1319999999999997,1.619,0.42,1.13,0.98,33.29,0.15,1.49,1,-0.081,0,-0.17800000000000002,1,-0.281,1,-0.49,0.002,0.177,1.139,1,0.188,1,0.252,3,0.337,6,0.47100000000000003,0.004,12,0.39,0.24,100,2.18,5.85,1,0.03
2,2,5,9,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35,0.23,3.845,15.776,76.65,2.763,2.727,1.95,1.92,2.745,1.93,0.73,1.09,1.52,52.48,2.2,16.62,3,-0.051,0,-0.062,0,-0.085,0,-0.191,0.198,0.23,3.74,1,0.446,3,0.495,3,0.5660000000000001,3,0.757,0.009000000000000001,10,0.61,0.39,100,1.93,0.58,0,0.06
2,2,5,9,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31,0.27,4.048,16.174,106.44,2.8089999999999997,2.955,1.82,1.72,2.8819999999999997,1.7690000000000001,0.69,1.05,1.7,46.03,0.18,1.83,1,-0.085,0,-0.142,0,-0.222,1,-0.353,0.003,0.17,2.35,1,0.261,1,0.324,1,0.519,1,0.816,0.003,10,0.5,0.31,100,1.62,5.8,0,0.03
2,2,5,9,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.256,17.396,133.46,2.966,3.145,1.76,1.57,3.055,1.666,0.92,1.07,1.14,43.38,0.17,6.39,1,-0.05,0,-0.10800000000000001,0,-0.185,0,-0.305,0.006,0.33,1.47,6,0.57,9,0.586,9,0.633,9,0.736,0.166,10,0.42,0.27,100,2.65,-1.28,1,0.04
2,2,5,9,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.32,0.26,3.99,16.039,87.06,2.798,2.885,1.83,1.81,2.841,1.824,0.34,1.33,1.63,50.2,0.15,1.87,1,-0.053,1,-0.134,1,-0.264,1,-0.43799999999999994,0.001,0.16,2.13,1,0.071,1,0.154,1,0.309,1,0.555,0.002,10,0.56,0.35,100,2.31,4.32,0,0.03
2,2,5,9,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.2139999999999995,17.158,114.08,2.958,3.07,1.77,1.67,3.014,1.715,0.46,1.27,1.22,39.45,0.13,4.64,1,-0.084,0,-0.162,1,-0.263,1,-0.44799999999999995,0.002,0.26,1.07,4,0.205,4,0.235,4,0.292,6,0.43,0.05,10,0.46,0.29,100,3.14,-3.91,1,0.02
2,2,5,9,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.1819999999999995,17.387,123.57,2.889,3.15,1.9,1.53,3.0189999999999997,1.716,0.65,1.05,1.2,45.39,0.16,4.21,3,-0.062,0,-0.086,0,-0.156,1,-0.262,0.065,0.16,1.06,1,0.196,1,0.213,1,0.265,2,0.409,0.08800000000000001,10,0.43,0.27,100,1.79,-0.3,1,0.04
2,2,5,9,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.07,0.06,4.149,17.09,104.19,2.883,3.072,1.91,1.63,2.978,1.767,0.17,1.38,1.21,42.85,0.08,7.51,1,-0.11800000000000001,1,-0.2112,2,-0.271,3,-0.41,0.001,0.3,1.89,5,0.008,0,0.012,0,0.048,3,0.172,0.133,10,0.47,0.3,100,1.99,-0.36,1,0.05
2,2,5,9,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.34,0.25,3.9360000000000004,16.338,86.9,2.925,2.745,1.75,1.86,2.835,1.804,0.58,1.24,1.42,42.64,0.16,1.14,2,-0.085,1,-0.102,1,-0.134,2,-0.32899999999999996,0.113,0.21,3.16,1,0.062,0,0.113,1,0.261,1,0.431,0.004,10,0.53,0.33,100,1.0,0.41,0,0.08
2,2,5,9,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.1,0.08,4.19,17.277,113.92,3.103,2.927,1.69,1.67,3.015,1.68,0.54,1.29,1.15,41.8,0.12,1.16,3,-0.04,0,-0.055999999999999994,0,-0.09699999999999999,0,-0.311,0.096,0.15,1.17,4,0.226,5,0.24100000000000002,6,0.28600000000000003,6,0.391,0.302,10,0.46,0.29,100,1.95,-0.79,1,0.07
2,2,5,9,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.3,0.28,4.152,16.554000000000002,116.69,2.96,2.967,1.68,1.69,2.964,1.6880000000000002,0.46,1.06,1.77,47.05,0.24,1.47,1,-0.07,0,-0.085,1,-0.145,1,-0.263,0.05,0.16,1.85,1,0.149,1,0.222,1,0.418,1,0.698,0.003,10,0.46,0.29,100,3.04,-1.24,0,0.01
2,2,5,9,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.377,17.743,143.71,3.1289999999999996,3.155,1.63,1.56,3.142,1.595,0.6,1.19,1.26,35.95,0.15,2.11,1,-0.06,0,-0.139,0,-0.201,1,-0.371,0.004,0.17,2.15,1,0.369,3,0.42700000000000005,4,0.48100000000000004,5,0.625,0.015,10,0.39,0.25,100,2.53,-7.85,1,0.02
2,2,5,9,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.31,0.27,4.091,16.468,97.3,2.952,2.9010000000000002,1.69,1.77,2.926,1.73,0.2,1.34,1.7,49.53,0.64,5.73,1,-0.021,1,-0.062,1,-0.131,1,-0.28300000000000003,0.021,0.31,28.72,1,0.043,1,0.111,1,0.27899999999999997,1,0.521,0.002,10,0.51,0.32,100,2.76,1.13,0,0.02
2,2,5,9,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.07,0.06,4.322,17.645,124.32,3.1210000000000004,3.083,1.64,1.64,3.102,1.6380000000000001,0.36,1.41,1.21,40.26,0.12,1.89,1,-0.066,0,-0.16,1,-0.259,1,-0.45799999999999996,0.002,0.17,1.54,2,0.20199999999999999,2,0.233,3,0.27899999999999997,4,0.41200000000000003,0.04,10,0.42,0.26,100,2.48,-0.38,1,0.03
2,2,5,9,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.32,0.28,4.001,16.387,106.56,3.005,2.755,1.59,1.85,2.88,1.72,0.69,0.98,1.53,37.72,0.33,1.04,4,-0.006999999999999999,0,-0.024,0,-0.073,0,-0.23600000000000002,0.18600000000000003,0.17,2.21,1,0.307,1,0.36700000000000005,1,0.575,1,0.8220000000000001,0.002,10,0.5,0.31,100,0.78,0.46,0,0.04
2,2,5,9,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.08,0.11,4.225,17.526,133.58,3.1839999999999997,2.927,1.53,1.69,3.056,1.609,0.76,1.17,1.13,36.28,0.11,1.05,4,-0.005,0,-0.027000000000000003,0,-0.099,0,-0.294,0.062,0.15,1.66,1,0.436,2,0.508,5,0.552,5,0.675,0.003,10,0.42,0.27,100,3.64,-1.05,1,0.02
2,2,5,9,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.28,0.3,4.202,16.678,136.35,3.025,2.97,1.57,1.71,2.997,1.64,0.8,1.16,1.72,49.21,0.21,1.57,1,-0.057999999999999996,0,-0.113,0,-0.253,1,-0.41,0.006,0.17,2.34,1,0.35,1,0.42100000000000004,1,0.627,1,0.914,0.003,10,0.43,0.27,100,2.61,1.96,0,0.02
2,2,5,9,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.04,0.1,4.417,17.912,163.37,3.194,3.1519999999999997,1.53,1.58,3.173,1.5530000000000002,0.94,1.17,1.23,37.09,0.18,3.49,1,-0.09699999999999999,0,-0.158,0,-0.256,1,-0.447,0.006,0.17,2.58,1,0.545,1,0.611,2,0.691,4,0.852,0.005,10,0.37,0.23,100,1.94,-5.39,1,0.02
2,2,5,9,8,6,1,6,5,3,82,51,16,180,145,100,146,139,105,1.87,2.05,2.58,2.3,0.31,4.025,15.995999999999999,90.92,2.926,2.793,1.57,1.9,2.86,1.734,0.91,0.7,1.77,44.26,0.78,1.04,1,-0.027999999999999997,0,-0.037000000000000005,0,-0.07,0,-0.17800000000000002,0.162,0.59,26.27,1,0.518,1,0.534,1,0.7190000000000001,1,1.043,0.012,10,0.5,0.31,100,1.62,2.62,1,0.03
