Num,ABC-Compound,NA (atom/unit),NB  (atom/unit),NC (atom/unit),N( atom/unit),Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA(pm),rB(pm),rC(pm),rCA(pm),rCB(pm),rCC(pm),XA,XB,XC,Ave_X,Std.Dev.Pauling Electronegativity,a (Å/uint),c (Å/unit),Ave_Mass (g/mol),A-C (Å),B-C (Å),ABS(IpCOHP)-AC (eV),ABS(IpCOHP)-BC (eV),Ave_Bondlength (Å),Ave_IpCOHP (eV),HSE_Band Gap (eV),LVB-window,LCB-Window,B (Gpa),Average-mh*,Anisotropy-mh*,VB-Extrema-0.1eV,1.00E+18,1E18-Pockets,1.00E+19,1E19-Pockets,1.00E+20,1E20-Pockets,1.00E+21,VB-dos-at-0.1 (states/atom),Average-me*,Anisotropy-me*,CB-Extrema-0.1eV,-1.00E+18,#NAME?,-1.00E+19,#NAME?,-1.00E+20,#NAME?,-1.00E+21,CB-dos-at-0.1  (states/atom),Time (fs),K_cal 100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,K_min,K_diff,N_optimal (1e20 cm-3)_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,Type,ZT_max_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
24,GeSbSe,1,4,7,12,4S2P2,5S2P3,4S2P4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.34,0.25,4.013,22.42,92.69,2.8,2.887,1.93,1.85,2.843,1.891,0.29,1.1,1.35,36.59,0.05,8.13,1,-0.026,1,-0.077,1,-0.222,2,-0.393,0.004,0.041,5.824,1,0.078,1,0.148,1,0.337,5,0.62,0.002,12,2.53,1.71,1.29,1.04,0.87,0.74,0.65,0.58,0.52,0.47,0.43,0.4,0.48,0.3,1.27,1.57,1.8,1.89,1.91,1.89,1.81,1.72,1.59,1.44,1.27,1.1,P,0.02,0.047,0.104,0.169,0.235,0.296,0.351,0.401,0.447,0.489,0.525,0.558
25,GeSbTe,1,4,7,12,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.09,0.04,4.231,24.064,121.07,2.959,3.07,1.82,1.68,3.014,1.753,0.46,1.11,0.8,37.49,0.16,2.21,1,-0.101,0,-0.165,1,-0.283,2,-0.486,0.002,0.274,1.718,7,0.22,7,0.242,7,0.277,11,0.422,0.103,12,2.6,1.76,1.33,1.06,0.89,0.76,0.67,0.59,0.53,0.49,0.45,0.41,0.41,0.26,-6.38,-5.23,-2.88,-2.58,-2.07,-1.44,-1.1,-0.9,-0.79,-0.72,-0.67,-0.63,N,0.02,0.06,0.135,0.234,0.34,0.444,0.536,0.615,0.676,0.722,0.759,0.789
26,SiAsTe,1,4,7,12,3S2P2,4S2P3,5S2P4,3,4,5,14,33,52,110,115,140,111,119,138,1.98,2.18,2.12,2.13,0.05,4.039,23.127,101.75,2.845,2.901,2.08,1.73,2.873,1.907,0.5,1.07,1.08,43.42,0.23,1.09,4,-0.017,0,-0.026,0,-0.062,0,-0.169,0.309,0.116,1.053,5,0.17,5,0.186,5,0.23,7,0.366,0.124,12,2.45,1.67,1.27,1.02,0.85,0.73,0.64,0.57,0.52,0.47,0.43,0.4,0.47,0.3,0.92,0.56,0.55,0.56,0.58,0.59,-0.39,-0.39,-0.39,-0.4,-0.45,-0.53,N,0.03,0.112,0.222,0.334,0.434,0.515,0.583,0.646,0.695,0.735,0.758,0.774
27,SiBiTe,1,4,7,12,3S2P2,6S2P3,5S2P4,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.08,0.05,4.272,24.453,146.43,2.909,3.143,1.86,1.58,3.026,1.72,0.86,0.91,0.74,39.08,0.27,3.3,3,-0.065,0,-0.117,0,-0.184,0,-0.269,0.01,0.267,2.356,3,0.512,7,0.563,11,0.615,12,0.71,0.029,12,1.89,1.26,0.94,0.75,0.63,0.54,0.47,0.42,0.38,0.34,0.31,0.29,0.37,0.23,-4.12,-3.28,-2.51,-1.23,-0.76,-0.65,-0.55,-0.5,-0.46,-0.45,-0.45,-0.45,N,0.06,0.152,0.261,0.376,0.489,0.581,0.652,0.706,0.748,0.777,0.798,0.815
28,SiSbTe,1,4,7,12,3S2P2,5S2P3,5S2P4,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09,0.05,4.206,24.037,117.36,2.894,3.07,1.95,1.67,2.982,1.812,0.37,1.04,0.77,42.41,0.15,2.13,1,-0.09,0,-0.183,1,-0.282,2,-0.444,0.001,0.181,4.033,9,0.143,7,0.163,8,0.202,9,0.327,0.13,12,2.28,1.54,1.16,0.93,0.77,0.66,0.58,0.52,0.47,0.42,0.39,0.36,0.41,0.26,-5.36,-0.49,-0.55,-0.59,-0.57,-0.55,-0.52,-0.49,-0.48,-0.46,-0.49,-0.55,N,0.04,0.09,0.198,0.329,0.457,0.562,0.641,0.701,0.745,0.78,0.799,0.81
29,SnAsTe,1,4,7,12,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13,0.06,4.092,23.516,109.3,3.097,2.905,1.71,1.73,3.001,1.719,0.65,1.04,0.95,40.13,0.16,1.09,5,0,0,-0.022,0,-0.073,0,-0.22,0.146,0.234,2.112,4,0.299,6,0.32,10,0.369,13,0.492,0.199,12,2.3,1.55,1.16,0.93,0.78,0.67,0.58,0.52,0.47,0.43,0.39,0.36,0.45,0.28,-7.56,-0.23,-0.31,-0.37,-0.41,-0.42,-0.43,-0.42,-0.41,-0.43,-0.45,-0.47,N,0.02,0.073,0.164,0.276,0.388,0.488,0.573,0.639,0.692,0.729,0.756,0.779
30,SnBiSe,1,4,7,12,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32,0.27,4.132,22.739,125.61,2.951,2.961,1.75,1.72,2.956,1.734,0.63,0.64,1.52,38.96,0.2,1.09,1,-0.065,0,-0.121,1,-0.228,1,-0.328,0.006,0.179,1.476,1,0.223,1,0.304,1,0.514,3,0.853,0.002,12,3.31,2.19,1.64,1.31,1.09,0.94,0.82,0.73,0.66,0.6,0.55,0.5,0.43,0.27,81.84,1.57,1.62,1.65,1.62,1.56,1.49,1.39,1.3,1.16,1.06,0.95,P,0.01,0.043,0.09,0.149,0.212,0.275,0.336,0.395,0.448,0.499,0.546,0.589
31,SnBiTe,1,4,7,12,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.346,24.582,153.99,3.118,3.147,1.68,1.58,3.133,1.628,0.76,0.85,0.96,38.94,0.2,1.81,1,-0.077,0,-0.144,0,-0.209,0,-0.331,0.005,0.212,1.804,1,0.424,3,0.493,5,0.599,11,0.743,0.005,12,2.15,1.44,1.08,0.86,0.72,0.62,0.54,0.48,0.43,0.39,0.36,0.33,0.35,0.22,-7.65,-7.04,-1.19,-1.1,-1.03,-0.97,-0.87,-0.75,-0.62,-0.5,-0.41,-0.36,N,0.03,0.073,0.128,0.213,0.301,0.383,0.458,0.524,0.583,0.634,0.679,0.714
32,SnSbSe,1,4,7,12,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33,0.26,4.047,22.614,96.54,2.943,2.892,1.77,1.82,2.917,1.794,0.2,1.04,1.43,43.98,0.36,1.53,1,-0.006,1,-0.052,1,-0.176,2,-0.335,0.012,0.065,1.281,1,0.07,1,0.13,1,0.32,5,0.609,0.004,12,2.43,1.63,1.23,0.98,0.82,0.7,0.61,0.55,0.49,0.45,0.41,0.38,0.47,0.3,-1.05,2.28,1.97,1.77,2.44,1.45,1.3,1.13,0.93,0.77,0.74,0.79,P,0.01,0.041,0.089,0.151,0.226,0.286,0.35,0.409,0.466,0.514,0.553,0.584
33,SnSbTe,1,4,7,12,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.05,4.271,24.283,124.91,3.114,3.074,1.69,1.67,3.094,1.679,0.33,1.13,0.97,39.5,0.13,1.39,1,-0.084,1,-0.186,1,-0.2842,2,-0.484,0.001,0.178,1.052,2,0.149,1,0.202,2,0.267,6,0.402,0.009,12,2.3,1.55,1.16,0.93,0.78,0.67,0.58,0.52,0.47,0.43,0.39,0.36,0.4,0.25,-9.1,-2.8,-2.78,-2.61,-2.3,-1.79,-1.06,-0.76,-0.62,-0.55,-0.52,-0.55,N,0.03,0.077,0.152,0.239,0.327,0.412,0.496,0.571,0.635,0.687,0.727,0.753
34,PbBiSe,1,4,7,12,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32,0.28,4.151,22.794,132.99,3.019,2.96,1.62,1.74,2.99,1.677,0.72,0.92,1.56,35.74,0.22,1.12,1,-0.025,0,-0.084,0,-0.228,1,-0.403,0.006,0.194,1.584,1,0.308,1,0.383,3,0.592,3,0.957,0.003,12,3.46,2.28,1.7,1.36,1.13,0.97,0.85,0.76,0.68,0.62,0.57,0.52,0.42,0.26,-3.2,-3.24,2.45,2.4,2.33,2.3,2.25,2.19,2.1,1.99,1.88,1.7,P,0.02,0.045,0.093,0.154,0.218,0.279,0.333,0.382,0.427,0.467,0.504,0.541
35,PbBiTe,1,4,7,12,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07,0.07,4.361,24.699,161.36,3.187,3.146,1.56,1.59,3.167,1.574,0.85,0.95,0.96,32.34,0.23,2.13,1,-0.067,0,-0.137,0,-0.225,1,-0.433,0.008,0.23,2.14,1,0.493,3,0.563,5,0.692,9,0.843,0.006,12,2.16,1.44,1.08,0.86,0.72,0.61,0.54,0.48,0.43,0.39,0.36,0.33,0.35,0.22,-7.2,-7.04,-1.43,-1.39,-1.33,-1.24,-1.11,-0.9,-0.64,-0.48,-0.39,-0.35,N,0.03,0.063,0.12,0.199,0.281,0.359,0.427,0.49,0.548,0.601,0.648,0.684
36,PbSbSe,1,4,7,12,6S2P2,5S2P3,4S2P4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33,0.27,4.069,22.678,103.91,3.017,2.892,1.62,1.84,2.954,1.726,0.29,0.98,1.53,32.93,0.07,4.76,1,0.001,0,-0.051,1,-0.195,1,-0.35,0.006,0.055,3.541,1,0.1,1,0.164,1,0.358,3,0.671,0.002,12,2.41,1.61,1.21,0.97,0.81,0.69,0.61,0.54,0.48,0.44,0.4,0.37,0.46,0.29,-0.57,2.03,2.14,2.19,2.16,2.12,2.06,1.96,1.82,1.66,1.44,1.18,P,0.02,0.055,0.108,0.167,0.225,0.28,0.33,0.377,0.421,0.46,0.495,0.53
37,PbSbTe,1,4,7,12,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08,0.07,4.286,24.386,132.28,3.191,3.073,1.55,1.68,3.132,1.619,0.42,1.13,0.98,33.29,0.15,1.49,1,-0.081,0,-0.178,1,-0.281,1,-0.49,0.002,0.177,1.139,1,0.188,1,0.252,3,0.337,6,0.471,0.004,12,2.18,1.46,1.1,0.88,0.73,0.63,0.55,0.49,0.44,0.4,0.37,0.34,0.39,0.24,19.16,-3.31,-3.25,-3.09,-2.79,-2.38,-1.88,-1.37,-0.98,-0.74,-0.62,-0.58,N,0.03,0.07,0.145,0.231,0.316,0.395,0.467,0.533,0.594,0.647,0.689,0.721
38,GeAsSe,2,2,5,9,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35,0.23,3.845,15.776,76.65,2.763,2.727,1.95,1.92,2.745,1.93,0.73,1.09,1.52,52.48,2.2,16.62,3,-0.051,0,-0.062,0,-0.085,0,-0.191,0.198,0.23,3.74,1,0.446,3,0.495,3,0.566,3,0.757,0.009,10,1.93,1.32,1,0.8,0.67,0.58,0.51,0.45,0.41,0.37,0.34,0.31,0.61,0.39,0.58,0.67,0.73,0.72,0.7,0.7,0.73,0.73,0.77,0.6,0.61,0.63,P,0.06,0.165,0.298,0.423,0.523,0.592,0.634,0.668,0.696,0.768,0.785,0.799
39,GeBiSe,2,2,5,9,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31,0.27,4.048,16.174,106.44,2.809,2.955,1.82,1.72,2.882,1.769,0.69,1.05,1.7,46.03,0.18,1.83,1,-0.085,0,-0.142,0,-0.222,1,-0.353,0.003,0.17,2.35,1,0.261,1,0.324,1,0.519,1,0.816,0.003,10,1.62,1.09,0.83,0.66,0.55,0.47,0.42,0.37,0.33,0.3,0.28,0.26,0.5,0.31,9.45,0.75,0.75,0.7,0.62,0.56,0.55,0.54,0.54,0.34,0.36,0.37,P,0.03,0.062,0.125,0.21,0.305,0.391,0.46,0.521,0.575,0.67,0.706,0.737
40,GeBiTe,2,2,5,9,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.256,17.396,133.46,2.966,3.145,1.76,1.57,3.055,1.666,0.92,1.07,1.14,43.38,0.17,6.39,1,-0.05,0,-0.108,0,-0.185,0,-0.305,0.006,0.33,1.47,6,0.57,9,0.586,9,0.633,9,0.736,0.166,10,2.65,1.8,1.36,1.1,0.92,0.79,0.69,0.61,0.55,0.5,0.46,0.42,0.42,0.27,-1.28,-0.81,-0.61,-0.53,-0.51,-0.47,-0.45,-0.43,-0.41,-0.39,-0.38,-0.37,N,0.04,0.136,0.27,0.404,0.516,0.603,0.669,0.719,0.757,0.787,0.81,0.831
41,GeSbSe,2,2,5,9,4S2P2,5S2P3,4S2P4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.32,0.26,3.99,16.039,87.06,2.798,2.885,1.83,1.81,2.841,1.824,0.34,1.33,1.63,50.2,0.15,1.87,1,-0.053,1,-0.134,1,-0.264,1,-0.438,0.001,0.16,2.13,1,0.071,1,0.154,1,0.309,1,0.555,0.002,10,2.31,1.58,1.2,0.97,0.81,0.69,0.61,0.54,0.49,0.44,0.41,0.38,0.56,0.35,4.32,4.3,1.45,1.51,1.49,1.36,1.2,1.06,0.99,0.92,0.85,0.78,P,0.03,0.052,0.092,0.153,0.22,0.289,0.353,0.412,0.461,0.506,0.546,0.584
42,GeSbTe,2,2,5,9,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.214,17.158,114.08,2.958,3.07,1.77,1.67,3.014,1.715,0.46,1.27,1.22,39.45,0.13,4.64,1,-0.084,0,-0.162,1,-0.263,1,-0.448,0.002,0.26,1.07,4,0.205,4,0.235,4,0.292,6,0.43,0.05,10,3.14,2.14,1.62,1.3,1.09,0.94,0.82,0.73,0.66,0.6,0.55,0.51,0.46,0.29,-3.91,-0.54,-0.6,-0.63,-0.58,-0.51,-0.45,-0.42,-0.39,-0.37,-0.36,-0.37,N,0.02,0.064,0.148,0.261,0.383,0.495,0.591,0.666,0.724,0.768,0.801,0.824
43,SiBiTe,2,2,5,9,3S2P2,6S2P3,5S2P4,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.182,17.387,123.57,2.889,3.15,1.9,1.53,3.019,1.716,0.65,1.05,1.2,45.39,0.16,4.21,3,-0.062,0,-0.086,0,-0.156,1,-0.262,0.065,0.16,1.06,1,0.196,1,0.213,1,0.265,2,0.409,0.088,10,1.79,1.2,0.91,0.73,0.61,0.52,0.46,0.41,0.37,0.33,0.31,0.28,0.43,0.27,-0.3,-0.31,-0.32,-0.31,-0.31,-0.3,-0.29,-0.28,-0.29,-0.3,-0.31,-0.33,N,0.04,0.131,0.265,0.408,0.533,0.634,0.708,0.759,0.792,0.817,0.837,0.852
44,SiSbTe,2,2,5,9,3S2P2,5S2P3,5S2P4,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.07,0.06,4.149,17.09,104.19,2.883,3.072,1.91,1.63,2.978,1.767,0.17,1.38,1.21,42.85,0.08,7.51,1,-0.118,1,-0.2112,2,-0.271,3,-0.41,0.001,0.3,1.89,5,0.008,0,0.012,0,0.048,3,0.172,0.133,10,1.99,1.35,1.02,0.82,0.69,0.59,0.52,0.46,0.41,0.38,0.34,0.32,0.47,0.3,-0.36,-0.44,-0.47,-0.44,-0.41,-0.38,-0.39,-0.44,-0.56,-0.73,-0.97,-1.28,N,0.05,0.153,0.29,0.422,0.528,0.612,0.67,0.707,0.722,0.728,0.728,0.725
45,SnAsSe,2,2,5,9,5S2P2,4S2P3,4S2P4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.34,0.25,3.936,16.338,86.9,2.925,2.745,1.75,1.86,2.835,1.804,0.58,1.24,1.42,42.64,0.16,1.14,2,-0.085,1,-0.102,1,-0.134,2,-0.329,0.113,0.21,3.16,1,0.062,0,0.113,1,0.261,1,0.431,0.004,10,1,0.67,0.51,0.41,0.34,0.29,0.26,0.23,0.21,0.19,0.17,0.16,0.53,0.33,0.41,0.41,0.37,0.37,0.4,0.34,0.35,0.36,0.37,0.38,0.39,0.4,P,0.08,0.202,0.338,0.423,0.494,0.638,0.683,0.719,0.749,0.773,0.792,0.808
46,SnAsTe,2,2,5,9,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.1,0.08,4.19,17.277,113.92,3.103,2.927,1.69,1.67,3.015,1.68,0.54,1.29,1.15,41.8,0.12,1.16,3,-0.04,0,-0.056,0,-0.097,0,-0.311,0.096,0.15,1.17,4,0.226,5,0.241,6,0.286,6,0.391,0.302,10,1.95,1.31,0.98,0.79,0.66,0.56,0.49,0.44,0.39,0.36,0.33,0.3,0.46,0.29,-0.79,-0.7,-0.55,-0.44,-0.41,-0.38,-0.36,-0.35,-0.36,-0.37,-0.4,-0.45,N,0.07,0.182,0.33,0.468,0.576,0.656,0.712,0.749,0.772,0.791,0.805,0.815
47,SnBiSe,2,2,5,9,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.3,0.28,4.152,16.554,116.69,2.96,2.967,1.68,1.69,2.964,1.688,0.46,1.06,1.77,47.05,0.24,1.47,1,-0.07,0,-0.085,1,-0.145,1,-0.263,0.05,0.16,1.85,1,0.149,1,0.222,1,0.418,1,0.698,0.003,10,3.04,2.05,1.55,1.24,1.04,0.89,0.78,0.69,0.62,0.57,0.52,0.48,0.46,0.29,-1.24,0.99,0.94,0.81,0.73,0.67,0.65,0.62,0.61,0.6,0.61,0.61,P,0.01,0.05,0.118,0.211,0.313,0.411,0.497,0.569,0.628,0.675,0.714,0.746
48,SnBiTe,2,2,5,9,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.377,17.743,143.71,3.129,3.155,1.63,1.56,3.142,1.595,0.6,1.19,1.26,35.95,0.15,2.11,1,-0.06,0,-0.139,0,-0.201,1,-0.371,0.004,0.17,2.15,1,0.369,3,0.427,4,0.481,5,0.625,0.015,10,2.53,1.71,1.29,1.03,0.86,0.74,0.65,0.58,0.52,0.47,0.43,0.4,0.39,0.25,-11.18,-0.32,-0.42,-0.47,-0.48,-0.45,-0.42,-0.39,-0.36,-0.34,-0.32,-0.3,N,0.02,0.069,0.152,0.258,0.365,0.46,0.54,0.606,0.66,0.704,0.739,0.768
49,SnSbSe,2,2,5,9,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.31,0.27,4.091,16.468,97.3,2.952,2.901,1.69,1.77,2.926,1.73,0.2,1.34,1.7,49.53,0.64,5.73,1,-0.021,1,-0.062,1,-0.131,1,-0.283,0.021,0.31,28.72,1,0.043,1,0.111,1,0.279,1,0.521,0.002,10,2.76,1.88,1.42,1.14,0.95,0.82,0.72,0.64,0.57,0.52,0.48,0.44,0.51,0.32,1.13,1.1,1.06,0.88,0.63,0.53,0.49,0.46,0.44,0.45,0.51,0.6,P,0.02,0.051,0.112,0.197,0.295,0.391,0.477,0.55,0.611,0.656,0.684,0.701
50,SnSbTe,2,2,5,9,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.07,0.06,4.322,17.645,124.32,3.121,3.083,1.64,1.64,3.102,1.638,0.36,1.41,1.21,40.26,0.12,1.89,1,-0.066,0,-0.16,1,-0.259,1,-0.458,0.002,0.17,1.54,2,0.202,2,0.233,3,0.279,4,0.412,0.04,10,2.48,1.68,1.26,1.01,0.85,0.73,0.64,0.57,0.51,0.46,0.42,0.39,0.42,0.26,-0.38,-0.45,-0.48,-0.49,-0.48,-0.45,-0.43,-0.4,-0.38,-0.37,-0.37,-0.42,N,0.03,0.103,0.213,0.335,0.446,0.538,0.61,0.667,0.712,0.747,0.774,0.787
51,PbAsSe,2,2,5,9,6S2P2,4S2P3,4S2P4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.32,0.28,4.001,16.387,106.56,3.005,2.755,1.59,1.85,2.88,1.72,0.69,0.98,1.53,37.72,0.33,1.04,4,-0.007,0,-0.024,0,-0.073,0,-0.236,0.186,0.17,2.21,1,0.307,1,0.367,1,0.575,1,0.822,0.002,10,0.78,0.53,0.4,0.32,0.27,0.23,0.2,0.18,0.16,0.15,0.13,0.12,0.5,0.31,0.46,0.34,0.35,0.36,0.3,0.32,0.33,0.34,0.34,0.35,0.36,0.36,P,0.04,0.135,0.237,0.325,0.485,0.545,0.593,0.631,0.663,0.689,0.711,0.731
52,PbAsTe,2,2,5,9,6S2P2,4S2P3,5S2P4,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.08,0.11,4.225,17.526,133.58,3.184,2.927,1.53,1.69,3.056,1.609,0.76,1.17,1.13,36.28,0.11,1.05,4,-0.005,0,-0.027,0,-0.099,0,-0.294,0.062,0.15,1.66,1,0.436,2,0.508,5,0.552,5,0.675,0.003,10,3.64,2.66,2.07,1.69,1.42,1.22,1.08,0.96,0.86,0.79,0.72,0.67,0.42,0.27,-1.05,-0.89,-0.86,-0.85,-0.82,-0.79,-0.75,-0.69,-0.64,-0.59,-0.55,-0.52,N,0.02,0.082,0.173,0.278,0.379,0.467,0.54,0.602,0.654,0.695,0.731,0.76
53,PbBiSe,2,2,5,9,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.28,0.3,4.202,16.678,136.35,3.025,2.97,1.57,1.71,2.997,1.64,0.8,1.16,1.72,49.21,0.21,1.57,1,-0.058,0,-0.113,0,-0.253,1,-0.41,0.006,0.17,2.34,1,0.35,1,0.421,1,0.627,1,0.914,0.003,10,2.61,1.82,1.39,1.12,0.94,0.81,0.71,0.63,0.57,0.51,0.47,0.44,0.43,0.27,1.96,2,2.06,2.1,2.09,2.02,1.92,1.8,1.62,1.42,1.18,0.91,P,0.02,0.056,0.113,0.181,0.25,0.315,0.376,0.432,0.483,0.531,0.575,0.615
54,PbBiTe,2,2,5,9,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.04,0.1,4.417,17.912,163.37,3.194,3.152,1.53,1.58,3.173,1.553,0.94,1.17,1.23,37.09,0.18,3.49,1,-0.097,0,-0.158,0,-0.256,1,-0.447,0.006,0.17,2.58,1,0.545,1,0.611,2,0.691,4,0.852,0.005,10,1.94,1.32,1,0.8,0.67,0.57,0.5,0.45,0.4,0.37,0.34,0.31,0.37,0.23,-5.39,-0.6,-0.65,-0.67,-0.66,-0.61,-0.54,-0.47,-0.38,-0.32,-0.31,-0.3,N,0.02,0.058,0.128,0.218,0.311,0.4,0.477,0.543,0.603,0.651,0.685,0.715
55,PbSbS,2,2,5,9,6S2P2,5S2P3,3S2P4,6,5,3,82,51,16,180,145,100,146,139,105,1.87,2.05,2.58,2.3,0.31,4.025,15.996,90.92,2.926,2.793,1.57,1.9,2.86,1.734,0.91,0.7,1.77,44.26,0.78,1.04,1,-0.028,0,-0.037,0,-0.07,0,-0.178,0.162,0.59,26.27,1,0.518,1,0.534,1,0.719,1,1.043,0.012,10,1.62,1.08,0.82,0.65,0.55,0.47,0.41,0.37,0.33,0.3,0.27,0.25,0.5,0.31,2.62,0.79,0.77,0.76,0.76,0.76,0.8,0.84,-0.85,-0.67,-0.57,-0.49,N,0.03,0.097,0.207,0.335,0.449,0.536,0.593,0.639,0.703,0.989,1.123,1.212
56,PbSbSe,2,2,5,9,6S2P2,5S2P3,4S2P4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.29,0.3,4.143,16.616,116.97,3.021,2.904,1.57,1.79,2.962,1.677,0.47,1.07,1.76,51.27,0.25,1.68,1,-0.089,1,-0.137,1,-0.289,1,-0.458,0.006,0.22,2.82,1,0.09,1,0.168,1,0.364,1,0.622,0.002,10,5.2,3.57,2.71,2.19,1.83,1.57,1.38,1.23,1.1,1,0.92,0.85,0.46,0.29,-336.59,2.55,2.54,2.56,2.57,2.51,2.47,2.37,2.26,2.12,1.94,1.73,P,0.01,0.033,0.071,0.121,0.178,0.235,0.291,0.343,0.394,0.44,0.482,0.523
57,PbSbTe,2,2,5,9,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.05,0.1,4.362,17.785,143.99,3.193,3.082,1.51,1.65,3.138,1.584,0.6,1.18,1.28,38.71,0.21,2.23,1,-0.057,0,-0.133,0,-0.248,1,-0.472,0.003,0.24,1.59,1,0.335,1,0.406,3,0.485,4,0.627,0.004,10,2.11,1.41,1.06,0.85,0.71,0.61,0.53,0.47,0.42,0.39,0.35,0.33,0.4,0.25,-2.14,-1.83,-1.42,-1.08,-0.9,-0.77,-0.65,-0.54,-0.45,-0.39,-0.37,-0.36,N,0.03,0.083,0.165,0.262,0.357,0.442,0.516,0.579,0.633,0.674,0.704,0.73
58,GeAsSe,3,2,6,11,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.34,0.24,3.861,57.053,76.49,2.766,2.731,1.93,1.91,2.749,1.919,0.68,0.85,0.87,22.39,0.11,2.34,5,0.008,0,0.001,0,-0.039,0,-0.211,0.072,0.51,7.82,4,0.435,6,0.455,7,0.492,9,0.695,0.046,12,1.8,1.27,0.98,0.79,0.66,0.57,0.5,0.45,0.4,0.37,0.34,0.31,0.61,0.39,0.19,0.25,0.37,0.5,0.52,0.52,0.54,0.56,0.58,0.48,0.49,0.51,P,0.02,0.064,0.14,0.253,0.374,0.468,0.532,0.583,0.624,0.726,0.748,0.765
59,GeBiTe,3,2,6,11,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.242,62.482,127.4,2.964,3.144,1.76,1.57,3.054,1.668,0.86,0.63,0.43,42.37,0.23,9.03,2,-0.063,0,-0.124,0,-0.195,0,-0.293,0.009,0.13,1.45,10,0.524,11,0.538,11,0.576,12,0.686,0.287,12,2.2,1.51,1.15,0.92,0.77,0.66,0.58,0.52,0.47,0.42,0.39,0.36,0.45,0.29,-0.73,-0.7,-0.71,-0.69,-0.69,-0.66,-0.66,-0.64,-0.62,-0.64,-0.66,-0.68,N,0.04,0.108,0.212,0.325,0.428,0.515,0.586,0.641,0.686,0.718,0.74,0.759
