NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,a_?_uint,c_?_unit,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,Temperature,Kpa,N_optimal,ZT
0,0,0,0.25,1,1,0.781402936,0.534315133,1,0.139240506,0.149253731,0.485658409,0.069767442,0.215522771,0,0.4375,0,0,0,0.00974026,0.344262295,0.089466089,0.444444444,0.727272727,0.15282392,0.090909091,0.32480315,-2.41,0.099
0,0,0,0.25,0.5,1,0.685154976,0.522500718,0.511627907,0.430379747,0.21641791,0.707953064,0.03255814,0.133418858,0,0.546875,0,0,0.2,0,0.107468124,0.006132756,0.555555556,0.545454545,0.083056478,0.090909091,0.395669291,-5.66,0.074
0,0,0,0,1,1,0.704730832,0.53300242,0.906976744,0.189873418,0.067164179,0.619295958,0.093023256,0.355355997,0,0.5546875,0,0,0,0.12987013,0.180327869,0,0.555555556,0.727272727,0.637873754,0.090909091,0.25,-0.44,0.196
0,0,0,0.625,0,1,0.535073409,0.511957993,0.593023256,0.253164557,0.186567164,0.394067797,0.046511628,0.023733162,0.6,0.5546875,0,0,0,0.107142857,0.198542805,0.037878788,0.333333333,0.090909091,0.093023256,0.090909091,0.318897638,-0.49,0.129
0,0,0,0.625,0.5,1,0.792822186,0.535689379,0.465116279,0.481012658,0.23880597,0.370273794,0.013953488,0.001282874,0,0.34375,0,0.5,0.2,0,0.107468124,0.00974026,0,0.090909091,0.009966777,0.090909091,0.328740157,-2.48,0.07
0,0,0,1,0,1,0.569331158,0.522808385,0.906976744,0.151898734,0.208955224,0.693937419,0.023255814,0.022450289,0.6,0.609375,0,0,0,0.275974026,0.180327869,0.058441558,0,0.090909091,0.003322259,0.090909091,0.301181102,-1.08,0.104
0,0,0,1,1,0.5,0.598694943,0.486011404,0.848837209,0.265822785,0.776119403,0.707953064,0.069767442,0.024374599,0,0.5703125,0,0,0.2,0.00974026,0.216757741,0.043290043,0,0.090909091,0.003322259,0.090909091,0.437007874,2.38,0.048
0,1,1,0,0.5,1,0.655791191,0.169442507,0.23255814,0.53164557,0.253731343,0.671773142,0.046511628,0.07055805,0,0.21875,0,0.5,0.4,0,0.255009107,0.109415584,0.888888889,0.636363636,0.428571429,0.090909091,0.279527559,-0.49,0.09
0,1,1,1,0.5,1,0.7862969,0.176600894,0.290697674,0.64556962,0.410447761,0.374511082,0.046511628,0.029506094,0,0.2890625,0,0.5,0.2,0.003246753,0.247723133,0.00501443,0,0.090909091,0.009966777,0.090909091,0.263779528,-3.31,0.07
0.5,0,0.333333333,0.25,1,1,0.737357259,0.033228043,0.872093023,0.569620253,0.529850746,0.703389831,0.055813953,0.343810135,0,0.53125,0,0,0,0.016233766,0.526411658,0.016955267,0.555555556,0.818181818,0.548172757,0.090909091,0.330708661,-0.81,0.136
