NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,XA,XB,XC,a_Å_uint,c_Å_unit,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,K_min,Temperature,Kpa,N_optimal,ZT
0,0,0,1,0.5,1,0,0.1875,0,0.836867863,0.542622144,0,0.295454545,0.074235808,0.61627907,0.455696203,0.291044776,0.487614081,0.046511628,0.047466325,0,0.4921875,0,0,0.2,0.003246753,0.198542805,0.028499278,0,0.090909091,0.003322259,0.185185185,0,0.438976378,-3.87,0.02
0,1,1,0.25,0,0.5,1,1,0.934782609,0,0.125569184,0.947368421,1,1,0.639534884,0.164556962,0.701492537,0.794002608,0.255813953,0.00192431,0.6,0.5,0,0,0,0.938311688,0.411657559,0.058152958,0.111111111,0.181818182,0.009966777,0.851851852,0,0.405511811,0.33,0.03
0,1,1,0.25,0,1,1,1,0,0.417618271,0.151987529,0.684210526,0.5,0.589519651,0.686046512,0.493670886,0.455223881,0.879400261,0.037209302,0.003207184,1,0.59375,0,0,0,0.224025974,0.475409836,0.001803752,0.555555556,0.363636364,0.504983389,0.481481481,0,0.543307087,-0.39,0.02
0,1,1,0.25,1,0.5,1,0,0.934782609,0.477977162,0.139578291,0.614035088,0.477272727,0.541484716,0.674418605,0.113924051,0.731343284,0.306714472,0.093023256,0.021167415,0,0.7734375,0,0,0.2,0.016233766,0.304189435,0.030880231,0,0.181818182,0.006644518,0.296296296,0,0.513779528,2.82,0.02
0,1,1,0.25,1,1,1,0,0,0.814029364,0.176990606,0.438596491,0.136363636,0.266375546,0.837209302,0.417721519,0.268656716,0.360495437,0.102325581,0.154586273,0.2,0.7265625,0,0,0,0.035714286,0.360655738,0.041378066,0.111111111,0.818181818,0.096345515,0.037037037,0,0.413385827,-2.53,0.03
0,1,1,0.25,0.5,0.5,1,0.1875,0.934782609,0.340946166,0.136275998,0.736842105,0.727272727,0.737991266,0.139534884,0.607594937,0.686567164,0.482073012,0,0.455420141,0,0.71875,0.5,0.5,0.4,0.00974026,0,0.174025974,0,0.090909091,0.003322259,0.481481481,0,0.474409449,1.27,0.02
0,1,1,0.25,0.5,1,1,0.1875,0,0.696574225,0.169996308,0.543859649,0.340909091,0.436681223,0.337209302,0.620253165,0.276119403,0.511408083,0.051162791,0.075689545,0,0.1328125,0,0.5,0.4,0.003246753,0.424408015,0.025901876,0.666666667,0.636363636,0.338870432,0.222222222,0,0.488188976,-6.38,0.02
0,1,1,0,0,1,0.785714286,1,0,0.383360522,0.150777372,1,0.454545455,0.772925764,0.38372093,0.569620253,0.485074627,0.704693611,0.08372093,0.003848621,0.6,0.7890625,0,0,0,1,0.136612022,0.001911977,0.444444444,0.454545455,0.408637874,0.444444444,0,0.458661417,0.92,0.03
0,1,1,0,1,1,0.785714286,0,0,0.763458401,0.177975141,0.614035088,0.113636364,0.364628821,0.802325581,0.367088608,0.231343284,0.563233377,0.102325581,0.145606158,0.4,0.4140625,0,0,0,0.029220779,0.411657559,0.048917749,0.222222222,0.636363636,0.093023256,0.074074074,0,0.348425197,-4.12,0.06
0,1,1,0,0.5,1,0.785714286,0.1875,0,0.655791191,0.169442507,0.771929825,0.318181818,0.565502183,0.23255814,0.53164557,0.253731343,0.671773142,0.046511628,0.07055805,0,0.21875,0,0.5,0.4,0,0.255009107,0.109415584,0.888888889,0.636363636,0.428571429,0.222222222,0,0.42519685,-5.36,0.04
0,1,1,0.625,0,1,0.642857143,1,0,0.469820555,0.158756205,0.350877193,0.454545455,0.362445415,0.558139535,0.53164557,0.388059701,0.597457627,0.051162791,0.003848621,0.8,0.921875,0,0,0,0.470779221,0.35154827,0.04011544,0.333333333,0.545454545,0.657807309,0.37037037,0,0.429133858,-7.56,0.02
0,1,1,0.625,1,0.5,0.642857143,0,0.934782609,0.535073409,0.142819051,0.421052632,0.431818182,0.395196507,0.534883721,0.025316456,0.813432836,0.559322034,0.069767442,0.003848621,0,0.4140625,0,0.5,0.2,0.016233766,0.25136612,0.017171717,0,0.090909091,0.003322259,0.296296296,0,0.627952756,81.84,0.01
0,1,1,0.625,1,1,0.642857143,0,0,0.884176183,0.180621077,0.298245614,0.113636364,0.163755459,0.686046512,0.291139241,0.395522388,0.558670143,0.069767442,0.050032072,0,0.3203125,0,0,0,0.012987013,0.31147541,0.029004329,0,0.272727273,0.013289037,0,0,0.399606299,-7.65,0.03
0,1,1,0.625,0.5,0.5,0.642857143,0.1875,0.934782609,0.396411093,0.140255159,0.456140351,0.659090909,0.526200873,0.034883721,0.53164557,0.746268657,0.722946545,0.144186047,0.032071841,0,0.875,0.5,0.5,0.4,0.035714286,0.043715847,0.010137085,0,0.090909091,0.009966777,0.444444444,0,0.454724409,-1.05,0.01
0,1,1,0.625,0.5,1,0.642857143,0.1875,0,0.76182708,0.174488247,0.315789474,0.318181818,0.27510917,0.186046512,0.64556962,0.402985075,0.576923077,0.037209302,0.023091725,0,0.265625,0.5,0.5,0.4,0,0.249544627,0.001875902,0.111111111,0.090909091,0.026578073,0.185185185,0,0.429133858,-9.1,0.03
0,1,1,1,1,0.5,0,0,0.934782609,0.566068515,0.143947163,0.192982456,0.477272727,0.270742358,0.639534884,0.379746835,0.843283582,0.454367666,0.079069767,0.005772931,0,0.7265625,0,0,0.2,0.016233766,0.278688525,0.021067821,0,0.090909091,0.006644518,0.259259259,0,0.657480315,-3.2,0.02
0,1,1,1,1,1,0,0,0,0.908646003,0.18302088,0.087719298,0.136363636,0.045851528,0.790697674,0.417721519,0.395522388,0.343546284,0.08372093,0.07055805,0,0.3984375,0,0,0.2,0.022727273,0.344262295,0.041125541,0,0.272727273,0.016611296,0,0,0.401574803,-7.2,0.03
0,1,1,1,0.5,0.5,0,0.1875,0.934782609,0.432300163,0.141567871,0.192982456,0.704545455,0.377729258,0.139534884,0.455696203,0.820895522,0.362777053,0.009302326,0.239255933,0,0.9296875,0,0.5,0.2,0.016233766,0.025500911,0.091666667,0,0.090909091,0.003322259,0.407407407,0,0.450787402,-0.57,0.02
0,1,1,1,0.5,1,0,0.1875,0,0.7862969,0.176600894,0.070175439,0.340909091,0.144104803,0.290697674,0.64556962,0.410447761,0.374511082,0.046511628,0.029506094,0,0.2890625,0,0.5,0.2,0.003246753,0.247723133,0.00501443,0,0.090909091,0.009966777,0.148148148,0,0.405511811,19.16,0.03
0.5,0,0.333333333,0.25,0,0.5,1,1,0.934782609,0.066884176,0,0.771929825,0.886363636,0.823144105,0.651162791,0.594936709,0.813432836,1,1,1,0.4,0.5234375,0,0,0,0.63961039,0.344262295,0.098845599,0,0.272727273,0.026578073,0.962962963,0,0.356299213,0.58,0.06
0.5,0,0.333333333,0.25,1,0.5,1,0,0.934782609,0.398042414,0.008163433,0.543859649,0.431818182,0.471615721,0.604651163,0.544303797,0.947761194,0.789765319,0.060465116,0.051314945,0,0.2578125,0,0,0.2,0.006493506,0.234972678,0.048701299,0,0.090909091,0.006644518,0.555555556,0,0.295275591,9.45,0.03
0.5,0,0.333333333,0.25,1,1,1,0,0,0.737357259,0.033228043,0.438596491,0.090909091,0.246724891,0.872093023,0.569620253,0.529850746,0.703389831,0.055813953,0.343810135,0,0.53125,0,0,0,0.016233766,0.526411658,0.016955267,0.555555556,0.818181818,0.548172757,0.259259259,0,0.498031496,-1.28,0.04
0.5,0,0.333333333,0.25,0.5,0.5,1,0.1875,0.934782609,0.303425775,0.005394429,0.561403509,0.636363636,0.591703057,0.197674419,0.898734177,0.895522388,0.925684485,0.046511628,0.053880693,0,0.5078125,0.5,0.5,0.2,0,0.216757741,0.040764791,0,0.090909091,0.003322259,0.777777778,0,0.431102362,4.32,0.03
