NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.0,1.0,0.03
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.09090909090909091,1.0,0.1
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.18181818181818182,1.0,0.2
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.2727272727272727,1.0,0.3
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.36363636363636365,1.0,0.41
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.45454545454545453,1.0,0.51
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.5454545454545454,1.0,0.58
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.6363636363636364,1.0,0.65
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.7272727272727273,1.0,0.7
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.8181818181818182,1.0,0.73
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,0.9090909090909091,1.0,0.77
0.0,0.0,0.0,0.25,1.0,1.0,0.7814029363784675,0.5343151331172826,0.48416289592760253,0.9794988610478351,1.0,1.0,0.79
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.0,1.0,0.02
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.09090909090909091,1.0,0.07
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.18181818181818182,1.0,0.14
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.2727272727272727,1.0,0.21
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.36363636363636365,1.0,0.28
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.45454545454545453,1.0,0.35
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.5454545454545454,1.0,0.43
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.6363636363636364,1.0,0.52
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.7272727272727273,1.0,0.6
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.8181818181818182,1.0,0.66
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,0.9090909090909091,1.0,0.71
0.0,0.0,0.0,0.25,0.5,1.0,0.6851549755301801,0.5225007178898141,0.4660633484162903,0.8063781321184511,1.0,1.0,0.75
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.0,1.0,0.07
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.09090909090909091,1.0,0.2
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.18181818181818182,1.0,0.35
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.2727272727272727,1.0,0.49
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.36363636363636365,1.0,0.59
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.45454545454545453,1.0,0.67
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.5454545454545454,1.0,0.73
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.6363636363636364,1.0,0.78
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.7272727272727273,1.0,0.81
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.8181818181818182,1.0,0.83
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.9090909090909091,1.0,0.84
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,1.0,1.0,0.85
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.0,0.0,0.02
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.09090909090909091,0.0,0.09
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.18181818181818182,0.0,0.19
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.2727272727272727,0.0,0.31
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.36363636363636365,0.0,0.42
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.45454545454545453,0.0,0.48
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.5454545454545454,0.0,0.53
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.6363636363636364,0.0,0.58
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.7272727272727273,0.0,0.68
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.8181818181818182,0.0,0.71
