NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.18181818181818182,0.0,0.11
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.2727272727272727,0.0,0.17
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.36363636363636365,0.0,0.25
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.45454545454545453,0.0,0.32
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.5454545454545454,0.0,0.38
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.6363636363636364,0.0,0.45
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.7272727272727273,0.0,0.5
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.8181818181818182,0.0,0.56
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,0.9090909090909091,0.0,0.6
0.0,0.0,0.0,0.25,1.0,0.5,0.4437194127243078,0.47112031833285467,0.1357466063348417,0.5489749430523919,1.0,0.0,0.64
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.0,1.0,0.01
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.09090909090909091,1.0,0.04
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.18181818181818182,0.0,0.08
