NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
1,0,0.666666667,0.625,0.5,0.5,0.492659054,0.902531074,0.459276018,0.423690205,0,0,0.02
1,0,0.666666667,0.625,0.5,1,0.879282219,0.983857735,0.841628959,0.842824601,0,1,0.02
1,0,0.666666667,1,0,1,0.768352365,0.983180867,0.970588235,0.510250569,0,1,0.03
1,0,0.666666667,1,1,0.5,0.676998369,0.916745293,0.624434389,0.580865604,0,0,0.02
1,0,0.666666667,1,0.5,0.5,0.600326264,0.913422488,0.613122172,0.44191344,0,0,0.02
1,0,0.666666667,1,0.5,1,0.957585644,1,1,0.84738041,0,1,0.01
0,0,0,0.25,0,0.5,0.026101142,0.451470649,0.009049774,0.011389522,0.090909091,0,0.08
0,0,0,0.25,0,1,0.438825449,0.497313041,0.395927602,0.428246014,0.090909091,1,0.07
0,0,0,0.25,1,0.5,0.443719413,0.471120318,0.135746606,0.548974943,0.090909091,0,0.05
0,0,0,0.25,1,1,0.781402936,0.534315133,0.484162896,0.979498861,0.090909091,1,0.1
0,0,0,0.25,0.5,0.5,0.326264274,0.465705378,0.104072398,0.387243736,0.090909091,1,0.04
0,0,0,0.25,0.5,1,0.685154976,0.522500718,0.466063348,0.806378132,0.090909091,1,0.07
0,0,0,0,1,1,0.704730832,0.53300242,0.328054299,0.986332574,0.090909091,1,0.2
0,0,0,0,0.5,1,0.616639478,0.520654716,0.305429864,0.810933941,0.090909091,1,0.09
0,0,0,0.625,0,0.5,0.11908646,0.465356689,0.389140271,0.031890661,0.090909091,0,0.09
0,0,0,0.625,0,1,0.535073409,0.511957993,0.79638009,0.448747153,0.090909091,1,0.13
0,0,0,0.625,1,0.5,0.54812398,0.482483489,0.457013575,0.564920273,0.090909091,0,0.05
0,0,0,0.625,1,1,0.908646003,0.544345079,0.841628959,0.990888383,0.090909091,1,0.06
0,0,0,0.625,0.5,0.5,0.425774878,0.479550396,0.441176471,0.407744875,0.090909091,1,0.04
0,0,0,0.625,0.5,1,0.792822186,0.535689379,0.830316742,0.820045558,0.090909091,1,0.07
0,0,0,1,0,0.5,0.182707993,0.471017763,0.576923077,0.036446469,0.090909091,0,0.08
0,0,0,1,0,1,0.569331158,0.522808385,0.99321267,0.439635535,0.090909091,1,0.1
0,0,0,1,1,0.5,0.598694943,0.486011404,0.608597285,0.562642369,0.090909091,0,0.05
0,0,0,1,1,1,0.942903752,0.551708578,0.995475113,0.981776765,0.090909091,1,0.06
