NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,Temperature,Nop,ZT
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.0,1.0,0.07
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.09090909090909091,1.0,0.2
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.18181818181818182,1.0,0.35
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.2727272727272727,1.0,0.49
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.36363636363636365,1.0,0.59
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.45454545454545453,1.0,0.67
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.5454545454545454,1.0,0.73
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.6363636363636364,1.0,0.78
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.7272727272727273,1.0,0.81
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.8181818181818182,1.0,0.83
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,0.9090909090909091,1.0,0.84
0.0,0.0,0.0,0.0,1.0,1.0,0.7047308319739017,0.5330024203142306,0.3280542986425338,0.98633257403189,1.0,1.0,0.85
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.0,1.0,0.02
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.09090909090909091,1.0,0.06
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.18181818181818182,1.0,0.13
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.2727272727272727,1.0,0.22
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.36363636363636365,1.0,0.31
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.45454545454545453,1.0,0.4
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.5454545454545454,1.0,0.47
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.6363636363636364,1.0,0.54
